id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
"7237500390,""20141110T000000"",1570000,""5"",""4.5"",6070,14731,""2"",0,0,3,11,6070,0,2004,0,""98059"",47.5306,-122.134,4750,13404"
"2197600451,""20141105T000000"",631000,""5"",""2"",2270,2400,""2"",0,0,3,7,2270,0,1905,0,""98122"",47.6051,-122.319,1320,2400"
"3278604400,""20140602T000000"",285000,""2"",""2.5"",1380,1073,""2"",0,0,3,7,1140,240,2011,0,""98126"",47.5462,-122.369,1580,2036"
"1788700160,""20150220T000000"",195000,""3"",""1"",1260,8378,""1"",0,0,4,6,840,420,1959,1977,""98023"",47.3274,-122.348,1140,8496"
"3276930270,""20150425T000000"",817500,""4"",""2.5"",2910,35679,""2"",0,0,4,9,2910,0,1987,0,""98075"",47.5859,-121.991,2720,36728"
"7374600060,""20150109T000000"",550000,""3"",""2"",1810,12825,""1"",0,0,4,7,1810,0,1960,0,""98007"",47.5953,-122.14,1490,10800"
"2505500030,""20140703T000000"",1127000,""4"",""2.5"",3160,8281,""2"",0,0,4,9,3160,0,1995,0,""98033"",47.6699,-122.195,3000,8281"
"2770604942,""20141230T000000"",609850,""2"",""2.75"",1910,1369,""3"",0,0,3,9,1910,0,2002,0,""98119"",47.6544,-122.373,1910,1879"
"7831800505,""20150106T000000"",200000,""3"",""1"",1230,4380,""1"",0,0,3,6,1230,0,1947,0,""98106"",47.5352,-122.361,1525,6026"
"5416510060,""20150306T000000"",367000,""4"",""2.5"",2960,6219,""2"",0,0,3,9,2960,0,2006,0,""98038"",47.3603,-122.037,2960,5361"
"4137010260,""20140825T000000"",285167,""3"",""2.25"",2200,8375,""2"",0,0,3,8,2200,0,1988,0,""98092"",47.2626,-122.218,2200,10002"
"7683800200,""20150402T000000"",275000,""2"",""1.5"",1270,32175,""1"",0,0,4,7,1270,0,1947,0,""98003"",47.3347,-122.304,1270,10200"
"1509500160,""20150324T000000"",350900,""4"",""2.5"",2540,12843,""2"",0,0,3,9,2540,0,1992,0,""98030"",47.3866,-122.169,2410,9383"
"3904940200,""20140620T000000"",660000,""4"",""3.25"",3030,9273,""2"",0,0,5,8,3030,0,1988,0,""98029"",47.5747,-122.014,2360,7632"
"4037200295,""20140819T000000"",525000,""3"",""1.75"",1520,8835,""1"",0,0,4,7,1520,0,1957,0,""98008"",47.6054,-122.118,1760,8580"
"7258200055,""20150206T000000"",262000,""4"",""2.5"",1560,7800,""2"",0,0,3,7,1560,0,1997,0,""98168"",47.514,-122.316,1160,7800"
"9178600560,""20140623T000000"",690000,""2"",""1"",970,4560,""1"",0,0,4,7,970,0,1907,0,""98103"",47.6561,-122.332,1500,4560"
